filename,num_nodes,num_edges,avg_degree,density,matrix_size,runtime
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,29631.25
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,20506.0
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,14795.25
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,12997.0
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,12272.75
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,11832.25
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,11307.0
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,11107.75
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,10718.75
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,10562.25
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,10370.0
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,10248.25
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,10103.0
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,10052.5
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9990.75
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,10004.25
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9890.75
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9884.5
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9888.75
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9753.0
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9952.0
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9693.25
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9618.75
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9613.25
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9654.25
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9526.5
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9531.25
des_perf.txt,303690,387291,2.5505680134347526,4.199309183794528e-06,8,9538.5
